id,name,origin,yearOrigin,description,practices,parentTraditions,timeCommitment,guidanceNeeded,accessibility,adhd,depression,anxiety,trauma,focus,metacognition,insight,compassion,communication,empathy,bodyAwareness,emotionalRegulation,researchSupport,citations
hatha-yoga,Hatha Yoga,Indian,1000,"Physical postures, breath control, and meditation for body-mind integration",Asanas (postures)|Pranayama (breath)|Meditation|Relaxation,yoga,30-90 min 3-7x weekly,Low-Medium,Very High,3,5,5,4,4,3,3,3,2,3,5,5,Very High,Cramer et al. (2013). Yoga for depression meta-analysis|Streeter et al. (2012). Effects of yoga on GABA
qigong,Qigong,Chinese,-500,"Coordinated movement, breathing, and meditation for cultivating life energy",Moving meditation|Breath regulation|Energy cultivation|Standing practice,taoism,20-40 min daily,Low-Medium,Very High,3,4,5,3,4,3,3,3,2,3,5,5,High,Wang et al. (2014). Qigong systematic review|Oh et al. (2018). Qigong for health
tai-chi,Tai Chi,Chinese Martial Arts,1300,"Slow, flowing movements integrating mind, body, and breath",Form practice|Push hands|Meditation in movement,qigong|taoism,30-60 min 3-7x weekly,Medium,Very High,3,4,5,3,4,3,3,3,2,3,5,5,Very High,Wang et al. (2010). Tai Chi on psychological well-being|Wayne & Kaptchuk (2008). Tai Chi systematic review
holotropic-breathwork,Holotropic Breathwork,Transpersonal Psychology,1970,Accelerated breathing to access non-ordinary states of consciousness for healing,Circular breathing|Evocative music|Focused bodywork|Mandala drawing,psychedelic-therapy,3-hour sessions,Very High,Medium,2,4,3,4,2,4,5,4,3,4,5,4,Low,Grof (2010). The Holotropic Mind|Holmes et al. (1996). Immediate effects of breathwork
wim-hof,Wim Hof Method,Modern Breathwork,2010,"Breathing techniques, cold exposure, and commitment for stress resilience",Controlled hyperventilation|Breath retention|Cold exposure,pranayama,15-30 min daily,Low-Medium,High,3,4,4,2,4,2,2,2,2,2,5,5,Medium,Kox et al. (2014). Voluntary activation of sympathetic nervous system|Buijze et al. (2016). Cold showers and health
nvc,Nonviolent Communication (NVC),Conflict Resolution,1960,Compassionate communication framework for needs-based dialogue,Observations|Feelings|Needs|Requests,humanistic-psychology,Ongoing practice + training,Medium,Very High,2,3,3,3,3,4,4,5,5,5,2,4,Medium,Rosenberg (2003). Nonviolent Communication|Steckal (2007). Effectiveness of NVC training
authentic-relating,Authentic Relating,Relational Practice,2010,"Structured practices for vulnerability, connection, and relational awareness",Noticing games|Revealing exercises|Relational meditation|Eye gazing,circling|encounter-groups,Weekly groups or practices,Medium,Medium,2,4,3,3,3,5,5,5,5,5,3,4,Low,Phenomenological reports|Community-based outcome studies
sufism,Sufism,Islamic Mysticism,800,Mystical path of divine love through dhikr (remembrance) and purification,Dhikr (chanting)|Whirling|Poetry|Heart meditation,islam,Daily practice + weekly gatherings,High,Medium,2,4,4,3,4,4,5,5,4,5,3,4,Low,Traditional texts and phenomenological studies|Chittick (2007). Sufism: A Beginner's Guide
vedanta,Vedanta,Hindu Philosophy,-500,"Inquiry into nature of self and reality through study, reflection, and meditation",Self-inquiry|Scriptural study|Meditation|Discrimination,hinduism,Variable - from 30 min to hours daily,High,Medium,2,4,4,2,4,5,5,4,3,4,2,4,Low,Traditional commentaries|Philosophical and contemplative texts
christian-contemplation,Christian Contemplative Prayer,Christian Mysticism,300,Silent prayer and contemplation for union with divine presence,Centering prayer|Lectio divina|Jesus prayer|Contemplative silence,christianity,20-40 min daily,Medium,High,3,4,5,3,4,4,4,5,3,5,2,4,Medium,"Keating (2006). Open Mind, Open Heart|Clinical studies of centering prayer"
